boletin,topic,role,method,confidence,needs_review,reviewer,taxonomy_version
18526-07,Seguridad,secundario,revision_semantica,0.95,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18534-13,Trabajo y seguridad social,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18535-07,Vivienda y territorio,principal,revision_semantica,0.92,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18535-07,Constitución y justicia,secundario,revision_semantica,0.92,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18535-07,Infraestructura y obras públicas,secundario,revision_semantica,0.92,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18536-07,Derechos humanos,principal,revision_semantica,0.97,0,modelo_lenguaje_piloto,institutional-hybrid-v0.3
18536-07,Constitución y justicia,secundario,revision_semantica,0.97,0,modelo_lenguaje_piloto,institutional-hybrid-v0.3
18537-06,Gobierno interior y descentralización,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18521-07,Constitución y justicia,principal,hibrido_institucional_texto,0.857,0,,institutional-hybrid-v0.3
18521-07,Gobierno interior y descentralización,secundario,hibrido_institucional_texto,0.857,0,,institutional-hybrid-v0.3
18522-10,Relaciones exteriores,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18540-06,Gobierno interior y descentralización,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18523-16,"Familia, infancia y adolescencia",principal,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18523-16,Administración parlamentaria,secundario,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18524-05,Economía y hacienda,principal,hibrido_institucional_texto,0.91,0,,institutional-hybrid-v0.3
18525-06,Gobierno interior y descentralización,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18539-21,Pesca y acuicultura,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18541-06,Gobierno interior y descentralización,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18541-06,Seguridad,secundario,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18542-29,Deportes,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18543-35,Personas mayores y discapacidad,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18544-06,Gobierno interior y descentralización,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18545-07,Constitución y justicia,principal,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18546-34,Mujeres y género,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18547-35,Personas mayores y discapacidad,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18548-11,Salud,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18549-15,Transportes y telecomunicaciones,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18550-36,"Familia, infancia y adolescencia",principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18552-07,Vivienda y territorio,principal,hibrido_institucional_texto,0.826,0,,institutional-hybrid-v0.3
18552-07,Constitución y justicia,secundario,hibrido_institucional_texto,0.826,0,,institutional-hybrid-v0.3
18551-04,Educación,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18553-11,Salud,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18554-36,"Familia, infancia y adolescencia",principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18555-17,Derechos humanos,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18556-13,Trabajo y seguridad social,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18557-03,"Economía, comercio y consumidores",principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18562-07,Gobierno interior y descentralización,principal,revision_semantica,0.92,0,modelo_lenguaje_piloto,institutional-hybrid-v0.3
18562-07,Seguridad,secundario,revision_semantica,0.92,0,modelo_lenguaje_piloto,institutional-hybrid-v0.3
18562-07,Constitución y justicia,secundario,revision_semantica,0.92,0,modelo_lenguaje_piloto,institutional-hybrid-v0.3
18563-07,"Familia, infancia y adolescencia",principal,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18563-07,Constitución y justicia,secundario,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18564-07,Minería y energía,principal,revision_semantica,0.93,0,modelo_lenguaje_piloto,institutional-hybrid-v0.3
18564-07,Economía y hacienda,secundario,revision_semantica,0.93,0,modelo_lenguaje_piloto,institutional-hybrid-v0.3
18564-07,Constitución y justicia,secundario,revision_semantica,0.93,0,modelo_lenguaje_piloto,institutional-hybrid-v0.3
18565-03,"Economía, comercio y consumidores",principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18565-03,Constitución y justicia,secundario,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18566-07,Gobierno interior y descentralización,principal,revision_semantica,0.95,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18566-07,Seguridad,secundario,revision_semantica,0.95,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18566-07,Constitución y justicia,secundario,revision_semantica,0.95,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18575-11,Salud,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18575-11,Educación,secundario,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18575-11,Economía y hacienda,secundario,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18588-13,Trabajo y seguridad social,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18567-07,Administración parlamentaria,principal,revision_semantica,0.99,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18567-07,Constitución y justicia,secundario,revision_semantica,0.99,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18568-07,Salud,principal,revision_semantica,0.91,0,modelo_lenguaje_piloto,institutional-hybrid-v0.3
18568-07,Constitución y justicia,secundario,revision_semantica,0.91,0,modelo_lenguaje_piloto,institutional-hybrid-v0.3
18568-07,Mujeres y género,secundario,revision_semantica,0.91,0,modelo_lenguaje_piloto,institutional-hybrid-v0.3
18569-06,Gobierno interior y descentralización,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18570-07,Constitución y justicia,principal,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18576-06,Gobierno interior y descentralización,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18599-06,Gobierno interior y descentralización,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18599-06,Trabajo y seguridad social,secundario,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18573-25,Seguridad,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18574-25,Seguridad,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18583-14,Vivienda y territorio,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18558-25,Seguridad,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18559-37,"Cultura, patrimonio y deporte",principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18561-36,"Familia, infancia y adolescencia",principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18586-11,Salud,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18587-06,Gobierno interior y descentralización,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18589-08,Minería y energía,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18589-08,Medio ambiente,secundario,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18590-07,"Familia, infancia y adolescencia",principal,hibrido_institucional_texto,0.839,0,,institutional-hybrid-v0.3
18590-07,Constitución y justicia,secundario,hibrido_institucional_texto,0.839,0,,institutional-hybrid-v0.3
18601-06,Gobierno interior y descentralización,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18560-35,Personas mayores y discapacidad,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18571-08,Minería y energía,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18572-07,"Familia, infancia y adolescencia",principal,revision_semantica,0.96,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18572-07,Constitución y justicia,secundario,revision_semantica,0.96,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18572-07,Personas mayores y discapacidad,secundario,revision_semantica,0.96,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18591-07,Constitución y justicia,principal,revision_semantica,0.95,0,modelo_lenguaje_piloto,institutional-hybrid-v0.3
18591-07,Economía y hacienda,secundario,revision_semantica,0.95,0,modelo_lenguaje_piloto,institutional-hybrid-v0.3
18592-03,"Economía, comercio y consumidores",principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18593-07,Constitución y justicia,principal,hibrido_institucional_texto,0.839,0,,institutional-hybrid-v0.3
18593-07,Vivienda y territorio,secundario,hibrido_institucional_texto,0.839,0,,institutional-hybrid-v0.3
18594-25,Seguridad,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18595-07,Trabajo y seguridad social,principal,institucional_trayectoria,0.94,0,,institutional-hybrid-v0.3
18595-07,Constitución y justicia,secundario,institucional_trayectoria,0.94,0,,institutional-hybrid-v0.3
18596-06,Gobierno interior y descentralización,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18602-07,Constitución y justicia,principal,revision_semantica,0.93,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18603-13,Trabajo y seguridad social,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18603-13,Salud,secundario,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18604-07,Seguridad,principal,revision_semantica,0.98,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18604-07,Transportes y telecomunicaciones,secundario,revision_semantica,0.98,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18604-07,Constitución y justicia,secundario,revision_semantica,0.98,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18577-03,"Economía, comercio y consumidores",principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18578-37,"Cultura, patrimonio y deporte",principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18579-07,Constitución y justicia,principal,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18580-07,Defensa,principal,revision_semantica,0.94,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18580-07,Constitución y justicia,secundario,revision_semantica,0.94,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18580-07,Gobierno interior y descentralización,secundario,revision_semantica,0.94,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18600-06,Gobierno interior y descentralización,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18605-15,Transportes y telecomunicaciones,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18606-08,Minería y energía,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18610-07,Educación,principal,revision_semantica,0.95,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18610-07,Economía y hacienda,secundario,revision_semantica,0.95,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18610-07,Constitución y justicia,secundario,revision_semantica,0.95,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18611-07,Seguridad,principal,revision_semantica,0.97,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18611-07,Minería y energía,secundario,revision_semantica,0.97,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18611-07,Constitución y justicia,secundario,revision_semantica,0.97,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18581-07,Constitución y justicia,principal,hibrido_institucional_texto,0.87,0,,institutional-hybrid-v0.3
18581-07,Gobierno interior y descentralización,secundario,hibrido_institucional_texto,0.87,0,,institutional-hybrid-v0.3
18582-07,Relaciones exteriores,principal,hibrido_institucional_texto,0.857,0,,institutional-hybrid-v0.3
18582-07,Constitución y justicia,secundario,hibrido_institucional_texto,0.857,0,,institutional-hybrid-v0.3
18612-07,Seguridad,principal,institucional_trayectoria,0.94,0,,institutional-hybrid-v0.3
18612-07,Constitución y justicia,secundario,institucional_trayectoria,0.94,0,,institutional-hybrid-v0.3
18584-25,Seguridad,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18585-25,Seguridad,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18597-07,Seguridad,principal,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18597-07,Constitución y justicia,secundario,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18607-15,Transportes y telecomunicaciones,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18608-09,Infraestructura y obras públicas,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18609-07,Constitución y justicia,principal,revision_semantica,0.97,0,modelo_lenguaje_piloto,institutional-hybrid-v0.3
18609-07,Gobierno interior y descentralización,secundario,revision_semantica,0.97,0,modelo_lenguaje_piloto,institutional-hybrid-v0.3
18613-07,Constitución y justicia,principal,hibrido_institucional_texto,0.852,0,,institutional-hybrid-v0.3
18613-07,Transportes y telecomunicaciones,secundario,hibrido_institucional_texto,0.852,0,,institutional-hybrid-v0.3
18614-06,Gobierno interior y descentralización,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18615-07,Administración parlamentaria,principal,revision_semantica,0.97,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18615-07,Constitución y justicia,secundario,revision_semantica,0.97,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18615-07,Territorio y zonas extremas,secundario,revision_semantica,0.97,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18616-03,"Economía, comercio y consumidores",principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18617-15,Transportes y telecomunicaciones,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18619-04,Educación,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18618-19,Ciencia y tecnología,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18620-08,Minería y energía,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18621-34,Mujeres y género,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18623-07,Ciencia y tecnología,principal,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18623-07,"Economía, comercio y consumidores",secundario,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18623-07,Constitución y justicia,secundario,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18624-36,"Familia, infancia y adolescencia",principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18625-15,Transportes y telecomunicaciones,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18626-17,Derechos humanos,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18627-02,Defensa,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18627-02,Relaciones exteriores,secundario,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18627-02,Medio ambiente,secundario,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18628-10,Relaciones exteriores,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
